Name                                                                                          ClientID
Azure Storage Discovery Resource Provider                                                     b15f3d14-f6d1-4c0d-93da-d4136c97f006
Azure Key Vault                                                                               cfa8b339-82a2-471a-a3c9-0fc0be7a4093
PROD Microsoft Defender For Cloud XDR                                                         3f6aecb4-6dbf-4e45-9141-440abdced562
Microsoft Azure Vnet Verifier                                                                 6e02f8e9-db9b-4eb5-aa5a-7c8968375f68
Microsoft Defender for Cloud for AI                                                           1efb1569-5fd6-4938-8b8d-9f3aa07c658d
Azure SignalR Service Resource Provider                                                       cdad765c-f191-43ba-b9f5-7aef392f811d
Azure Spring Cloud Marketplace Integration                                                    86adf623-eea3-4453-9f4a-18134ac1410d
azure-cli-2026-01-06-14-05-21                                                                 6dc00739-0dc5-4cc2-b381-793690aaa499
Microsoft Azure Container Apps - Data Plane                                                   3734c1a4-2bed-4998-a37a-ff1a9e7bf019
AzureTerraform                                                                                d99ebd2c-7667-48c7-a145-04212409f9e5
Azure Device Update RP                                                                        53ddd101-c943-4c8b-ad09-84c09e9d570c
Azure Management Groups                                                                       f2c304cf-8e7e-4c3f-8164-16299ad9d272
Azure DNS Managed Resolver                                                                    b4ca0290-4e73-4e31-ade0-c82ecfaabf6a
Azure ESTS Service                                                                            00000001-0000-0000-c000-000000000000
Microsoft Defender for Cloud Scanner Resource Provider                                        e0ccf59d-5a20-4a87-a122-f42842cdb86a
Azure Cosmos DB                                                                               a232010e-820c-4083-83bb-3ace5fc29d0b
Compute Artifacts Publishing Service                                                          a8b6bf88-1d1a-4626-b040-9a729ea93c65
Azure Cosmos DB Virtual Network To Network Resource Provider                                  57c0fc58-a83a-41d0-8ae9-08952659bdfd
Office365 Shell WCSS-Server Default                                                           a68e1e61-ad4f-45b6-897d-0a1ea8786345
Azure Notification Service                                                                    b503eb83-1222-4dcc-b116-b98ed5216e05
identity-client-app                                                                           d2ec0a4a-f7af-4651-8f9c-8c60eef41415
Microsoft.Relay                                                                               91bb937c-29c2-4275-982f-9465f0caf03d
Microsoft.Azure.SyncFabric                                                                    00000014-0000-0000-c000-000000000000
Microsoft Defender for Cloud CIEM                                                             a70c8393-7c0c-4c1e-916a-811bd476ee11
Microsoft Graph                                                                               00000003-0000-0000-c000-000000000000
Bot Service CMEK Prod                                                                         27a762be-14e7-4f92-899c-151877d6d497
IAM Supportability                                                                            a57aca87-cbc0-4f3c-8b9e-dc095fdc8978
Billing RP                                                                                    80dbdb39-4f33-4799-8b6f-711b5e3e61b6
networkcopilotRP                                                                              d66e9e8e-53a4-420c-866d-5bb39aaea675
Afdx Resource Provider                                                                        92b61450-2139-4e4a-a0cc-898eced7a779
Azure Container Registry - Dataplane                                                          a3747411-ce7c-4888-9ddc-3a230786ca19
